Set Name,Effect 1,,,,Effect 2,,,,Effect 3,,,,Effect 4,,,,2 set Bonus,,,,4 set Bonus,,,,,,,,,,,,,,,
,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType
Growth and Renewal,50,SELF_CRIT_MULT_PERC,Follow,Skill_Behavior,,,,,,,,,,,,,10,SELF_DMG_PERC,Electric,Element,27,SELF_DMG_PERC,Electric,Element,,,,,,,,,,,,
Growth and Power,5,SELF_ATK_STACK_BUFF,,,,,,,,,,,,,,,10,SELF_ATK_PERC,,,30,SELF_ATK_PERC,,,,,,,,,,,,,,
Trust and Prosperity,8,PARTY_DMG_PERC,Ally Buff,,,,,,,,,,,,,,8,SELF_DMG_TAKEN_DEC,,,25,HIGHLIGHT_CHARGE_INC,,,,,,,,,,,,,,
Trust and Power,10,PARTY_ATK_PERC,,,,,,,,,,,,,,,10,SELF_ATK_PERC,,,30,SELF_ATK_PERC,,,,,,,,,,,,,,
Trust and Renewal,12,PARTY_DMG_PERC,Electric,Element,,,,,,,,,,,,,10,SELF_DMG_PERC,Electric,Element,27,SELF_DMG_PERC,Electric,Element,,,,,,,,,,,,
Departure and Prosperity,8,PARTY_DMG_PERC,,,,,,,,,,,,,,,8,SELF_DMG_TAKEN_DEC,,,25,HIGHLIGHT_CHARGE_INC,,,,,,,,,,,,,,
Departure and Control,23,DEF_DECR_PERC,,,,,,,,,,,,,,,10,SELF_HP_PERC,,,8,DMG_SKILL_SINGLE_HP,,,,,,,,,,,,,,
Departure and Hindrance,30,SELF_ATK_PERC,Defeat Enemy,,,,,,,,,,,,,,10,SELF_DMG_PERC,Curse,Element,20,SELF_DMG_PERC,Debuffed,,,,,,,,,,,,,
Faith and Peace,14,ALLY_DEF_PERC,Granting Shield,,,,,,,,,,,,,,20,SELF_DEF_PERC,,,18,SELF_SHIELD_PERC,,,,,,,,,,,,,,
Faith and Love,20,SELF_HEAL_PERC,1% every 800 HP,,,,,,,,,,,,,,9,SELF_HEAL_PERC,,,23,SELF_HEAL_PERC,,,,,,,,,,,,,,
Faith and Futility,10,PARTY_DMG_PERC,Technical Ailment,,,,,,,,,,,,,,12,SELF_ATK_PERC,,,30,SELF_EHR_PERC,Start | Technical,,,,,,,,,,,,,
Acceptance and Peace,40,SELF_DEF_PERC,Attacked,,,,,,,,,,,,,,20,SELF_DEF_PERC,,,18,SELF_SHIELD_PERC,,,,,,,,,,,,,,
Acceptance and Strife,40,SELF_ATK_PERC,8% each enemy,,,,,,,,,,,,,,10,SELF_DMG_PERC,Fire,Element,15,SELF_ATK_PERC,,,15,SELF_ATK_PERC,Fire,Element,,,,,,,,
Acceptance and Love,25,SELF_ATK_PERC,Heal,Element,,,,,,,,,,,,,9,SELF_HEAL_PERC,,,23,SELF_HEAL_PERC,,,,,,,,,,,,,,
Harmony and Victory,12,PARTY_DMG_PERC,Trigger Card Buff,,,,,,,,,,,,,,10,SELF_DMG_PERC,Wind,Element,20,SELF_DMG_PERC,Chance (25%),Skill_Behavior,,,,,,,,,,,,
Harmony and Power,10,PARTY_DMG_PERC,Same,Element,,,,,,,,,,,,,10,SELF_ATK_PERC,,,30,SELF_ATK_PERC,,,,,,,,,,,,,,
Harmony and Truth,20,PARTY_DMG_PERC,Nuke,Element,,,,,,,,,,,,,10,SELF_DMG_PERC,Nuke,Element,30,DMG_SKILL_SINGLE,,,,,,,,,,,,,,
Resolve and Virtue,30,SELF_DMG_PERC,12k HP,,,,,,,,,,,,,,10,SELF_DMG_PERC,Bless,Element,12,SELF_CRIT_PERC,Bless,Element,,,,,,,,,,,,
Resolve and Labor,10,DEF_DECR_PERC,Elucidator,Self_Role,,,,,,,,,,,,,12,SELF_HP_PERC,,,25,SELF_ATK_PERC,,,8,PARTY_ATK_PERC,Elucidator,Self_Role,8,PARTY_HP_PERC,Elucidator,Self_Role,8,PARTY_DEF_PERC,Elucidator,Self_Role
Resolve and Prudence,30,SELF_ATK_PERC,4th Turn (slowest),,,,,,,,,,,,,,12,SELF_ATK_PERC,,,3,SELF_SPD_PERC_DEC,,,16,SELF_DMG_PERC,,,,,,,,,,
Wisdom and Oppression,20,SELF_DMG_PERC,Resentment >= 5,,20,SELF_EHR_PERC,Resentment >= 5,,,,,,,,,,10,SELF_DMG_PERC,Phy,Element,30,SELF_ATK_PERC,6 stacks,,,,,,,,,,,,,
Wisdom and Pleasure,30,SELF_DMG_PERC,50% of EHR,,,,,,,,,,,,,,10,SELF_DMG_PERC,Psy,Element,30,SELF_ATK_PERC,,,,,,,,,,,,,,
Wisdom and Virtue,30,SELF_ATK_PERC,Highlight,Skill,25,SELF_DMG_PERC,Highlight,Skill,,,,,,,,,10,SELF_DMG_PERC,Bless,Element,12,SELF_CRIT_PERC,Bless,Element,,,,,,,,,,,,
Integrity and Pleasure,30,SELF_DMG_PERC,80% of Healing Bonus,,,,,,,,,,,,,,10,SELF_DMG_PERC,Psy,Element,30,SELF_ATK_PERC,,,,,,,,,,,,,,
Integrity and Labor,8,PARTY_ATK_PERC,Elucidator,Self_Role,8,PARTY_HP_PERC,Elucidator,Self_Role,8,PARTY_DEF_PERC,Elucidator,Self_Role,,,,,12,SELF_HP_PERC,,,25,SELF_ATK_PERC,,,8,PARTY_ATK_PERC,Elucidator,Self_Role,8,PARTY_HP_PERC,Elucidator,Self_Role,8,PARTY_DEF_PERC,Elucidator,Self_Role
Integrity and Fixation,10,PARTY_DMG_PERC,Theurgy,DBuff,,,,,,,,,,,,,12,SELF_ATK_PERC,,,25,SELF_ATK_PERC,Start | Theurgy,,,,,,,,,,,,,
Agility,16,PARTY_DMG_PERC,AOA,Skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preseverance and Transformation,32,PARTY_DMG_PERC,Electric,Skill,,,,,,,,,,,,,10,SELF_DMG_PERC,Electric,Element,25,SELF_ATK_PERC,critical hit,,,,,,,,,,,,,
Preseverance and Sorrow,16,SELF_DMG_PERC,DoT,Skill,,,,,,,,,,,,,12,SELF_ATK_PERC,,,20,SELF_DMG_PERC,Start | Highlight,,,,,,,,,,,,,
Preseverance and Obtain,40,SELF_ATK_PERC,At 40% HP,,,,,,,,,,,,,,12,SELF_ATK_PERC,,,24,SELF_DMG_PERC,Reduce HP,,,,,,,,,,,,,
Creation and Reconcilation,12,ALLY_ATK_PERC,Lowest SPD,,,,,,,,,,,,,,6,SELF_SPD_PERC,,,15,SELF_ATK_PERC,,,15,SELF_HP_PERC,,,15,SELF_DEF_PERC,,,,,,
Creation and Worry,45,SELF_CRIT_MULT_PERC,200% SP Recovery,,,,,,,,,,,,,,80,SELF_SP_RECOVERY_PERC,,,25,HIGHLIGHT_CHARGE_INC,,,,,,,,,,,,,,
Freedom and Defeat,8,PARTY_DMG_PERC,Debuffed,,,,,,,,,,,,,,15,SELF_EHR_PERC,,,20,PARTY_DMG_PERC,Fire,Element,,,,,,,,,,,,
Freedom and Success,16,SELF_PIERCE_PERC,Follow,Skill_Behavior,,,,,,,,,,,,,7.5,SELF_CRIT_PERC,,,40,SELF_DMG_PERC,Follow,Skill_Behavior,,,,,,,,,,,,
Freedom and Despair,35,SELF_ATK_PERC,Almighty,Skill,12,SELF_CRIT_PERC,Almighty,Skill,,,,,,,,,12,SELF_ATK_PERC,,,25,SELF_SKILL_PERC,Different element,,,,,,,,,,,,,
