,,,,Recommended Stats (during battle),,,,,Base Stats (lvl 80),,,,,,,,,,Hidden Stat,,,,,,,,,4* Weapon (lvl 80),,,5* Weapon (lvl 80),,,4* Weapon (lvl 80) Event,,
Closer,,Sweeper,N,"16,000","16,000","16,000","16,000",HP,2430.00,825.40,515.40,98.00,835.00,844.60,854.20,863.80,873.40,882.20,21.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1712.00,581.00,363.00,2140.00,726.00,453.00,,,
Leon,Y,Strategist,N,"4,064","4,465","4,064","4,465",ATK,2610.00,780.00,490.00,100.00,788.80,797.60,807.20,816.00,824.80,833.60,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1838.00,549.00,345.00,2299.00,687.00,431.00,,,
Cattle,,Medic,N,,,,,,2812.30,787.70,475.40,95.00,796.50,806.10,814.90,823.70,833.30,842.10,0.00,0.00,21.80,0.00,0.00,0.00,0.00,0.00,0.00,1981.00,554.00,334.00,2477.00,693.00,418.00,,,
Riddle,Y,Strategist,N,"4,880","5,380","5,180","5,680",ATK,3540.00,1010.00,660.00,101.00,1028.40,1046.00,1064.40,1082.80,1101.20,1118.80,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1870.00,533.00,349.00,2338.00,667.00,436.00,,,
Rin,Y,Saboteur,N,180,183,180,200,SPD,3180.00,1090.00,633.40,106.00,1110.00,1129.20,1149.20,1168.40,1188.40,1207.60,0.00,0.00,0.00,0.00,124.80,0.00,0.00,0.00,0.00,1680.00,575.00,334.00,2100.00,720.00,418.00,,,
Panther,Y,Sweeper,N,,,,,,3240.00,1210.00,620.00,94.00,1231.60,1253.20,1275.60,1297.20,1318.80,1340.40,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1712.00,639.00,328.00,2140.00,799.00,409.00,,,
Mona,,Medic,N,,,,,,3300.00,1100.00,646.70,100.00,1120.00,1140.00,1159.20,1179.20,1199.20,1219.20,0.00,0.00,0.00,22.40,0.00,0.00,0.00,0.00,0.00,1744.00,581.00,341.00,2180.00,726.00,427.00,1902.00,539.00,341.00
Skull,Y,Assassin,N,,,,,,3960.00,1100.00,533.40,94.00,1120.00,1140.00,1159.20,1179.20,1199.20,1219.20,0.00,0.00,0.00,0.00,0.00,184.90,0.00,0.00,0.00,2093.00,581.00,281.00,2616.00,726.00,352.00,,,
Joker,Y,Sweeper,N,,,,,,3270.00,1180.00,860.00,102.00,1201.60,1222.40,1244.00,1264.80,1286.40,1307.20,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1728.00,623.00,296.00,2160.00,779.00,370.00,,,
Marian,Y,Medic,N,"15,000","15,000","15,000","15,000",HP,4140.00,910.00,673.40,94.00,926.00,942.80,958.80,975.60,991.60,1008.40,0.00,0.00,0.00,0.00,0.00,0.00,20.90,0.00,0.00,2188.00,481.00,355.00,2735.00,601.00,444.00,,,
Bui,Y,Assassin,N,,,,,,3420.00,1150.00,566.70,103.00,1170.80,1191.60,1212.40,1233.20,1253.20,1274.00,0.00,0.00,0.00,22.40,0.00,0.00,0.00,0.00,0.00,1807.00,607.00,299.00,2259.00,759.00,374.00,,,
Fox,,Sweeper,N,,,,,,3720.00,820.00,800.00,102.00,834.40,849.60,864.00,879.20,893.60,908.80,0.00,43.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1966.00,433.00,422.00,2457.00,541.00,528.00,,,
Vino,Y,Saboteur,N,173,191,173,191,EHR,2475.40,787.70,505.40,103.00,796.50,806.10,814.90,823.70,833.30,842.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.10,0.00,1744.00,554.00,355.00,2180.00,693.00,444.00,,,
Queen,Y,Assassin,N,,,,,,3120.00,1160.00,680.00,96.00,1180.80,1201.60,1222.40,1243.20,1264.80,1285.60,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1649.00,613.00,359.00,2061.00,766.00,449.00,,,
Phoebe,Y,Elucidator,N,"4,600","5,060","5,980","6,440",ATK,3450.00,1110.00,606.60,100.00,1130.00,1150.00,1170.00,1190.00,1210.00,1230.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1823.00,586.00,320.00,2279.00,733.00,400.00,,,
Wind,Y,Elucidator,N,170,180,170,180,SPD,2610.00,780.00,455.40,105.00,788.80,797.60,807.20,816.00,824.80,833.60,0.00,0.00,0.00,0.00,119.10,0.00,0.00,0.00,0.00,1838.00,549.00,320.00,2299.00,687.00,400.00,1981.00,554.00,334.00
Chord,Y,Strategist,N,"5,084","5,605","5,396","5,917",ATK,3450.00,1080.00,586.70,100.00,1099.20,1119.20,1138.40,1157.60,1177.60,1196.80,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1823.00,570.00,310.00,2279.00,713.00,387.00,,,
Closer-Tropical,Y,Sweeper,N,,,,,,3960.00,1070.00,546.70,96.00,1089.20,1108.40,1127.60,1146.80,1166.00,1185.20,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,2093.00,565.00,288.00,2616.00,706.00,361.00,,,
Moko-Seaside,Y,Medic,N,,,,,,3540.00,1090.00,580.00,103.00,1110.00,1129.20,1149.20,1168.40,1188.40,1207.60,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1870.00,575.00,306.00,2388.00,720.00,383.00,,,
Messa,Y,Assassin,N,,,32,32,Pierce,3720.00,1130.00,546.70,97.00,1150.00,1170.80,1190.80,1211.60,1231.60,1252.40,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1966.49,596.93,288.61,2457.70,746.53,361.15,,,
Oracle,Y,Elucidator,N,"4,600","5,060","5,980","6,440",ATK,3390.00,1140.00,600.00,100.00,1160.80,1180.80,1201.60,1222.40,1242.40,1263.20,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1791.59,602.36,317.10,2239.65,753.13,396.41,,,
Cherish,Y,Defense,N,"6,100","6,725","6,475","7,100",DEF,3540.00,840.00,813.40,104.00,855.20,870.40,885.60,900.80,916.00,930.40,0.00,43.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1870.83,443.81,429.53,2338.77,554.96,537.33,,,
Noir,Y,Sweeper,N,150,150,150,150,EHR,3240.00,1150.00,646.70,97.00,1170.80,1191.60,1212.40,1233.20,1253.20,1274.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.90,0.00,1712.00,607.00,341.00,2140.00,759.00,427.00,,,
Mont-Swan,,Assassin,N,,,,,,3480.00,1150.00,566.70,98.00,1170.80,1191.60,1212.40,1233.20,1253.20,1274.00,0.00,0.00,0.00,0.00,0.00,184.90,0.00,0.00,0.00,1838.00,607.00,299.00,2299.00,759.00,374.00,,,
Howler,Y,Saboteur,N,170,190,182,199,EHR,3240.00,1060.00,653.40,105.00,1079.20,1098.40,1117.60,1136.00,1155.20,1174.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.90,0.00,1712.00,560.00,345.00,2160.00,700.00,431.00,,,
Violet,,Assassin,N,,,,,,3390.00,1160.00,560.00,102.00,1180.80,1201.60,1222.40,1243.20,1264.80,1285.60,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1791.00,613.00,296.00,2239.00,766.00,370.00,,,
Wind-Vast,Y,Strategist,N,388,418,418,448,CRIT_MULT,3630.00,980.00,640.00,104.00,997.60,1015.20,1032.80,1050.40,1068.00,1085.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.50,1918.00,517.00,338.00,2398.00,647.00,422.00,,,
Rin-Lion Dance,,Sweeper,N,,,,,,3390.00,1200.00,593.30,95.00,1221.60,1243.20,1264.80,1286.40,1308.00,1329.60,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1791.00,634.00,313.00,2239.00,792.00,391.00,,,
Matoi,,Saboteur,N,,,,,,3540.00,1020.00,626.60,104.00,1038.40,1056.80,1075.20,1093.60,1112.00,1130.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.90,0.00,1870.00,539.00,331.00,2338.00,673.00,414.00,,,
Crow,,Sweeper,N,,,,,,3540.00,1120.00,620.00,95.00,1140.00,1160.00,1180.80,1200.80,1220.80,1240.80,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1870.00,592.00,328.00,2338.00,739.00,409.00,,,
Turbo,,Strategist,N,,,,,,3390.00,1050.00,620.00,107.00,1069.20,1087.60,1106.80,1126.00,1144.40,1163.60,0.00,0.00,0.00,0.00,125.80,0.00,0.00,0.00,0.00,1791.00,554.00,328.00,2239.00,693.00,409.00,,,
Luce,,Strategist,N,,,,,,2587.70,765.40,495.40,104.00,774.20,783.00,791.80,800.60,809.40,818.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.10,0.00,1823.00,539.00,349.00,2279.00,673.00,436.00,,,
Ange,Y,Elucidator,N,"4,600","5,060","5,980","6,440",ATK,3360.00,1150.00,600.00,100.00,1170.80,1191.60,1212.40,1233.20,1253.20,1274.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1776.00,607.00,317.00,2219.00,759.00,396.00,,,
Makoto Yuki,Y,Assassin,Y,,,,,ATK,3270.00,1190.00,593.30,98.00,1211.60,1233.20,1254.00,1275.60,1297.20,1318.80,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1728.00,628.00,313.00,2160.00,786.00,391.00,,,
Yukari,Y,Medic,Y,"4,500","4,584","4,667","5,084",ATK,3450.00,1070.00,620.00,103.00,1089.20,1108.40,1127.60,1146.80,1166.00,1185.20,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1823.00,565.00,328.00,2279.00,706.00,409.00,,,
Akihiko,,Sweeper,Y,,,,,,3450.00,1170.00,593.30,96.00,1190.80,1212.40,1233.20,1254.00,1275.60,1296.40,0.00,0.00,0.00,22.40,0.00,0.00,0.00,0.00,0.00,1823.00,618.00,313.00,2279.00,773.00,391.00,,,
Berry,,Assassin,N,,,,,,3600.00,1170.00,546.70,96.00,1190.80,1212.40,1233.20,1254.00,1275.60,1296.40,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1902.00,618.00,288.00,2378.00,773.00,361.00,,,
Marian-Summer,,Strategist,N,,,,,,4020.00,900.00,606.60,104.00,916.00,932.80,948.80,964.80,980.80,997.60,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,2125.00,475.00,320.00,2655.00,594.00,400.00,,,
Puppet-Summer,,Sweeper,N,,,,,,3420.00,1180.00,593.30,96.00,1201.60,1222.40,1244.00,1264.80,1286.40,1307.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.50,1807.00,623.00,313.00,2259.00,779.00,391.00,,,
Blitz,,Saboteur,N,,,,,,3390.00,1070.00,600.00,107.00,1089.20,1108.40,1127.60,1146.80,1166.00,1185.20,0.00,0.00,0.00,0.00,125.80,0.00,0.00,0.00,0.00,1791.00,565.00,317.00,2239.00,706.00,396.00,,,
Bui-Prism,,Assassin,N,,,,,,3450.00,1170.00,580.00,96.00,1190.80,1212.40,1233.20,1254.00,1275.60,1296.40,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1823.00,618.00,306.00,2279.00,773.00,383.00,,,
Mitsuru,,Assassin,Y,,,,,,3450.00,1100.00,613.30,100.00,1120.00,1140.00,1159.20,1179.20,1199.20,1219.20,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1823.00,581.00,323.00,2279.00,726.00,405.00,,,
Fuuka,,Elucidator,Y,,,,,,3480.00,1120.00,586.70,0.00,1140.00,1160.00,1180.80,1200.80,1220.80,1240.80,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1839.00,592.00,310.00,2299.00,740.00,388.00,,,
Luce-Notte,,Sweeper,N,,,,,,3630.00,1140.00,573.30,96.00,1160.80,1180.80,1201.60,1222.40,1242.40,1263.20,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1918.00,602.00,303.00,2398.00,753.00,379.00,,,
SOY-Pioneer,,Defense,,"20,000","21,520","20,720","22,720",HP,4350.0,850.0,580.0,102.0,865.2,880.4,895.6,911.6,926.8,942.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2299.0,449.0,306.0,2874,562,383,,,
Justine & Caroline,Y,Strategist,N,4500,4500,4500.00,4500.00,ATK,3600.00,1000,667,104,1018,1036.00,1054.00,1072.00,1090.00,1108.00,29.00,0,0,0,0,0.00,0.00,0.00,0.00,1903,529,352,2378,661.00,440.00,,,
